2024-08-29 20:16:56,225 INFO    StreamThr :3878 [internal.py:wandb_internal():86] W&B internal server running at pid: 3878, started at: 2024-08-29 20:16:56.224678
2024-08-29 20:16:56,226 DEBUG   HandlerThread:3878 [handler.py:handle_request():146] handle_request: status
2024-08-29 20:16:56,229 INFO    WriterThread:3878 [datastore.py:open_for_write():85] open: /Users/gerardolara/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20240829_201656-ffk0faem/run-ffk0faem.wandb
2024-08-29 20:16:56,230 DEBUG   SenderThread:3878 [sender.py:send():380] send: header
2024-08-29 20:16:56,259 DEBUG   SenderThread:3878 [sender.py:send():380] send: run
2024-08-29 20:16:56,407 INFO    SenderThread:3878 [dir_watcher.py:__init__():211] watching files in: /Users/gerardolara/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20240829_201656-ffk0faem/files
2024-08-29 20:16:56,407 INFO    SenderThread:3878 [sender.py:_start_run_threads():1124] run started: ffk0faem with start time 1724980616.226121
2024-08-29 20:16:56,417 DEBUG   HandlerThread:3878 [handler.py:handle_request():146] handle_request: check_version
2024-08-29 20:16:56,417 DEBUG   SenderThread:3878 [sender.py:send_request():407] send_request: check_version
2024-08-29 20:16:56,465 DEBUG   HandlerThread:3878 [handler.py:handle_request():146] handle_request: run_start
2024-08-29 20:16:56,476 DEBUG   HandlerThread:3878 [system_info.py:__init__():32] System info init
2024-08-29 20:16:56,476 DEBUG   HandlerThread:3878 [system_info.py:__init__():47] System info init done
2024-08-29 20:16:56,476 INFO    HandlerThread:3878 [system_monitor.py:start():194] Starting system monitor
2024-08-29 20:16:56,476 INFO    SystemMonitor:3878 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-29 20:16:56,476 INFO    HandlerThread:3878 [system_monitor.py:probe():214] Collecting system info
2024-08-29 20:16:56,479 INFO    SystemMonitor:3878 [interfaces.py:start():190] Started cpu monitoring
2024-08-29 20:16:56,479 DEBUG   HandlerThread:3878 [system_info.py:probe():196] Probing system
2024-08-29 20:16:56,481 INFO    SystemMonitor:3878 [interfaces.py:start():190] Started disk monitoring
2024-08-29 20:16:56,483 INFO    SystemMonitor:3878 [interfaces.py:start():190] Started gpuapple monitoring
2024-08-29 20:16:56,485 INFO    SystemMonitor:3878 [interfaces.py:start():190] Started memory monitoring
